Lot Number,PO Number,Prod Qty,PO Date,Qty PO,Due Date,Qty Shipped,First Article,Remark,Tracking No,Real Shipped Date
L14525,P156198,14,2021-06-16 00:00:00,5,2021-06-02 00:00:00,5,10828,-,-,-
L16712,P169202,30,2024-08-07 00:00:00,10,2024-11-13 00:00:00,10,11414,"Mat PO 18075
HT PO 18372. ST Issue 11/7/25",drop off,2025-02-03 00:00:00
L14914,P158003,57,2021-11-10 00:00:00,50,2022-01-14 00:00:00,50,10988,,,2022-01-28 00:00:00
L15218,P159703,110,2022-05-04 00:00:00,50,2022-08-26 00:00:00,50,,,Drop off,2022-08-22 00:00:00
L15219,P159703,58,2022-05-04 00:00:00,50,2022-12-02 00:00:00,50,,from L15218. ,,2022-10-06 00:00:00
L15725,P162771,255,2023-01-30 00:00:00,50,2023-05-01 00:00:00,50,,Traveller 100 pcs.                                     Mat PO 16384 & 16696,Drop off,2023-04-18 00:00:00
L16111,P165001,105,2023-09-01 00:00:00,75,2023-11-22 00:00:00,75,,,Drop off,2023-10-02 00:00:00
L16629,P168735,159,2024-07-10 00:00:00,75,2024-09-25 00:00:00,37,,Make Traveller 150 pcs. St Issue 8/27,Label Ready,2024-11-21 00:00:00
L16730,P168735,30,2024-07-10 00:00:00,75,2024-09-25 00:00:00,30,,from L15725,Label Ready,2024-08-16 00:00:00
L16731,P168735,8,2024-07-10 00:00:00,75,2024-09-25 00:00:00,8,,from L15218,Label Ready,2024-08-16 00:00:00
L17058,25109,,2025-03-07 00:00:00,50,2025-04-15 00:00:00,50,,1.0035 +/-.0001,,2025-06-16 00:00:00
L17251,P172720,59,2025-06-18 00:00:00,30,2025-08-25 00:00:00,30,11443, ST Issued 6-30-25,assembly with K219-C39885,2025-08-25 00:00:00
L17251-1,P172720,,2025-06-18 00:00:00,20,2025-12-13 00:00:00,,,,,
L15080,P158849,,2022-02-23 00:00:00,5,2022-04-25 00:00:00,5,11042,Revise 4/25 to 5/20,,2022-05-20 00:00:00
L14811,P157323,96,2021-09-20 00:00:00,50,2021-11-05 00:00:00,50,10952,,,2021-11-11 00:00:00
L15590,P161731,60,2022-11-02 00:00:00,50,2023-01-11 00:00:00,50,,,,
